year,quarter,ydec,wjsi_q,wjsi_q_ma4,composite,openings_z,quits_z,layoffs_z,labor_share_z,union_z,tenure_z,openings_rate,quits_rate,layoffs_rate,labor_share,union_rate,median_tenure,union_interpolated,tenure_interpolated,covid_flag
2001,1,2001.0,105.52742798147408,106.23338194356664,-0.05639886035816858,-0.0034239842102258395,0.9096093191233622,-0.547481262668037,1.0019615665635213,0.008228219488699185,-1.7072870204463313,3.6666666666666665,2.3333333333333335,1.5666666666666667,113.626,13.325000000000001,3.6,True,True,False
2001,2,2001.25,106.9393359056592,105.32718253342313,-0.024375225522196137,0.31263609673366743,0.8162202719854404,-0.27954589757764453,0.6428723486837588,-0.0012068055250091872,-1.6372273674333897,3.266666666666667,2.3000000000000003,1.4666666666666668,111.694,13.3,3.625,False,True,False
2001,3,2001.5,103.5147837131361,103.99650243881376,-0.10204786055141123,0.4443277971269567,0.4426640834337507,-0.45816947430457244,0.527264950380854,-0.0012068055250091872,-1.567167714420447,3.1,2.1666666666666665,1.5333333333333332,111.072,13.3,3.6500000000000004,True,True,False
2001,4,2001.75,100.00446215498566,103.22847900566431,-0.18166583974784478,0.734049537992193,0.06910789488206223,-0.81541662775843,0.4205790233296207,-0.0012068055250091872,-1.4971080614075054,2.733333333333333,2.033333333333333,1.6666666666666667,110.498,13.3,3.6750000000000003,True,True,False
2002,1,2002.0,102.4553342488763,101.86561110167662,-0.12607734731146567,0.7867262181495084,0.06910789488206223,-0.27954589757764453,0.09550291459685296,-0.0012068055250091872,-1.427048408394564,2.6666666666666665,2.033333333333333,1.4666666666666668,108.749,13.3,3.7,True,False,False
2002,2,2002.25,101.48786428970844,101.35273620994744,-0.14802063706603352,0.8657412383854816,-0.2110592465317038,-0.36885768594110846,0.1492176060912897,-0.0012068055250091872,-1.321958928875151,2.566666666666667,1.9333333333333333,1.5,109.038,13.3,3.7375000000000003,False,True,False
2002,3,2002.5,101.46328414621932,101.4796269989697,-0.14857814193290725,0.8920795784641395,-0.11767019939378137,-0.45816947430457244,0.04810759857235106,-0.03894690557984201,-1.2168694493557382,2.533333333333333,1.9666666666666668,1.5333333333333332,108.494,13.200000000000001,3.7750000000000004,True,True,False
2002,4,2002.75,100.5120253110748,100.80155265428574,-0.17015374544738018,0.8920795784641395,-0.3978373408075487,-0.36885768594110846,0.04215995107123764,-0.07668700563467483,-1.1117799698363264,2.533333333333333,1.8666666666666665,1.5,108.462,13.100000000000001,3.8125,True,True,False
2003,1,2003.0,99.74303687014041,100.06177388427778,-0.187595254630622,0.971094598700113,-0.3978373408075487,-0.45816947430457244,-0.11954171536530202,-0.11442710568950833,-1.0066904903169134,2.433333333333333,1.8666666666666665,1.5333333333333332,107.592,13.0,3.85,True,True,False
2003,2,2003.25,98.52874920967659,98.76774428727302,-0.21513664310109407,0.971094598700113,-0.5846154350833923,-0.547481262668037,-0.07604954301340637,-0.15216720574434114,-0.9016010107975005,2.433333333333333,1.8,1.5666666666666667,107.826,12.9,3.8875,False,True,False
2003,3,2003.5,96.28716575820025,98.77086552417144,-0.2659782374252184,1.076447959014744,-0.7713935293592364,-0.636793051031501,-0.2777119660980542,-0.18990730579917398,-0.7965115312780888,2.3000000000000003,1.7333333333333334,1.5999999999999999,106.741,12.8,3.925,True,True,False
2003,4,2003.75,100.52451025866849,98.4857023958887,-0.169870573013939,0.9184179185427973,-0.3978373408075487,-0.36885768594110846,-0.2518768722650907,-0.22764740585400747,-0.6914220517586759,2.5,1.8666666666666665,1.5,106.88,12.7,3.9625,True,True,False
2004,1,2004.0,98.60238435700943,99.06152385227185,-0.2134665164385213,0.8394028983068238,-0.3044482936696256,-0.547481262668037,-0.4165523624521858,-0.2653875059088403,-0.5863325722392629,2.6,1.9000000000000001,1.5666666666666667,105.994,12.6,4.0,True,False,False
2004,2,2004.25,100.83203503520919,100.60886996013618,-0.16289557062301668,0.8394028983068238,-0.3044482936696256,-0.27954589757764453,-0.34332195259471776,-0.3031276059636731,-0.5863325722392629,2.6,1.9000000000000001,1.4666666666666668,106.388,12.5,4.0,False,True,False
2004,3,2004.5,102.4765501896576,100.76169654584567,-0.12559614628649507,0.734049537992193,-0.11767019939378137,-0.27954589757764453,-0.20095014053680132,-0.3031276059636731,-0.5863325722392629,2.733333333333333,1.9666666666666668,1.4666666666666668,107.154,12.5,4.0,True,True,False
2004,4,2004.75,101.13581660150646,100.72365362602025,-0.1560054683845026,0.6550345177562191,-0.02428115225585957,-0.27954589757764453,-0.39778010002679465,-0.3031276059636731,-0.5863325722392629,2.8333333333333335,2.0,1.4666666666666668,106.095,12.5,4.0,True,True,False
2005,1,2005.0,98.45021267770775,100.57303021031602,-0.21691793859350747,0.6286961776775614,0.1624969420199853,-0.547481262668037,-0.6557593103876185,-0.3031276059636731,-0.5863325722392629,2.8666666666666667,2.066666666666667,1.5666666666666667,104.707,12.5,4.0,True,True,False
2005,2,2005.25,100.22954137239226,100.22659594085603,-0.17656079391310617,0.6023578375989037,0.2558859891579071,-0.36885768594110846,-0.6592907260914034,-0.3031276059636731,-0.5863325722392629,2.9,2.1,1.5,104.688,12.5,4.0,False,True,False
2005,3,2005.5,101.09081311181765,100.0,-0.15702619735375947,0.47066613720561473,0.4426640834337507,-0.19023410921417996,-0.7286179922762651,-0.3503027310322143,-0.5863325722392629,3.0666666666666664,2.1666666666666665,1.4333333333333333,104.315,12.375,4.0,True,True,False
2005,4,2005.75,100.22943283808232,100.89098095013094,-0.17656325559141342,0.47066613720561473,0.2558859891579071,-0.011610532487250863,-0.7905106990847331,-0.39747785610075553,-0.5863325722392629,3.0666666666666664,2.1,1.3666666666666665,103.982,12.25,4.0,True,True,False
2006,1,2006.0,102.01413647823156,100.44052852073746,-0.13608420119730005,0.36531277689098357,0.5360531305716737,-0.011610532487250863,-0.6752750287506472,-0.4446529811692967,-0.5863325722392629,3.1999999999999997,2.2,1.3666666666666665,104.602,12.125,4.0,True,False,False
2006,2,2006.25,98.42773165481833,100.44677231769263,-0.2174278330812558,0.2862977566550097,0.3492750362958289,-0.10092232085071601,-0.7960866186170278,-0.4918281062378379,-0.5513027457327916,3.3000000000000003,2.1333333333333333,1.4000000000000001,103.952,12.0,4.0125,False,True,False
2006,3,2006.5,101.11578829963833,101.01269485319969,-0.15645973244409409,0.33897443681232586,0.4426640834337507,0.0777012558762131,-0.7994321703364046,-0.48239308122412955,-0.5162729192263201,3.233333333333333,2.1666666666666665,1.3333333333333333,103.934,12.025,4.025,True,True,False
